name,action_dim,count,mean,std,max_abs,sat_ratio_abs_ge_0.99,tail50_mean_abs,tail50_max_abs,success,steps,reward
peg_online_baseline_preview,0,191,0.03671414032578468,0.2116566002368927,0.45449018478393555,0.0,0.11698371917009354,0.415863037109375,True,191,68.75263605918735
peg_online_baseline_preview,1,191,0.028130918741226196,0.20769622921943665,0.49057459831237793,0.0,0.06812944263219833,0.1816602349281311,True,191,68.75263605918735
peg_online_baseline_preview,2,191,-0.0056581986136734486,0.05310242250561714,0.1496870368719101,0.0,0.026559099555015564,0.1496870368719101,True,191,68.75263605918735
peg_online_baseline_preview,3,191,0.0288205798715353,0.2864360213279724,0.6746178865432739,0.0,0.12316229194402695,0.4072038531303406,True,191,68.75263605918735
peg_online_baseline_preview,4,191,0.006831724662333727,0.06111833080649376,0.15443308651447296,0.0,0.00824358407407999,0.03797483816742897,True,191,68.75263605918735
peg_online_baseline_preview,5,191,0.014566388912498951,0.11099684238433838,0.29297569394111633,0.0,0.05424301698803902,0.18155157566070557,True,191,68.75263605918735
peg_online_baseline_preview,6,191,0.029824402183294296,0.4999357759952545,1.0,0.041884816753926704,0.12306482344865799,0.41647058725357056,True,191,68.75263605918735
peg_online_baseline_preview,7,191,-0.2841853201389313,0.9513604044914246,1.0,0.837696335078534,0.9992752075195312,1.0,True,191,68.75263605918735
peg_online_lighting_low_preview,0,191,0.03671414032578468,0.2116566002368927,0.45449018478393555,0.0,0.11698371917009354,0.415863037109375,True,191,68.75263605918735
peg_online_lighting_low_preview,1,191,0.028130918741226196,0.20769622921943665,0.49057459831237793,0.0,0.06812944263219833,0.1816602349281311,True,191,68.75263605918735
peg_online_lighting_low_preview,2,191,-0.0056581986136734486,0.05310242250561714,0.1496870368719101,0.0,0.026559099555015564,0.1496870368719101,True,191,68.75263605918735
peg_online_lighting_low_preview,3,191,0.0288205798715353,0.2864360213279724,0.6746178865432739,0.0,0.12316229194402695,0.4072038531303406,True,191,68.75263605918735
peg_online_lighting_low_preview,4,191,0.006831724662333727,0.06111833080649376,0.15443308651447296,0.0,0.00824358407407999,0.03797483816742897,True,191,68.75263605918735
peg_online_lighting_low_preview,5,191,0.014566388912498951,0.11099684238433838,0.29297569394111633,0.0,0.05424301698803902,0.18155157566070557,True,191,68.75263605918735
peg_online_lighting_low_preview,6,191,0.029824402183294296,0.4999357759952545,1.0,0.041884816753926704,0.12306482344865799,0.41647058725357056,True,191,68.75263605918735
peg_online_lighting_low_preview,7,191,-0.2841853201389313,0.9513604044914246,1.0,0.837696335078534,0.9992752075195312,1.0,True,191,68.75263605918735
