name,env,policy_input_type,base_video,output_video,perturbation_name,perturbation_type,perturbation_level,success_rate,notes
pickcube_baseline_original,PickCube-v1,state,output_pickcube_state_final/videos/pickcube_baseline.mp4,output_pickcube_state_final/videos/pickcube_baseline.mp4,none,none,none,100.0,Original stable baseline video from task 2.
pickcube_lighting_low,PickCube-v1,state,output_pickcube_state_final/videos/pickcube_baseline.mp4,output_visual_perturbation/videos/pickcube_lighting_low.mp4,pickcube_lighting_low,lighting,low,100.0,Render-only perturbation preview for task 4.
pickcube_camera_shift_01,PickCube-v1,state,output_pickcube_state_final/videos/pickcube_baseline.mp4,output_visual_perturbation/videos/pickcube_camera_shift_01.mp4,pickcube_camera_shift_01,camera,medium,100.0,Render-only perturbation preview for task 4.
peg_baseline_original_preview,PegInsertionSide-v1,state,output_peg_state_motionplanning_resume/videos/peg_baseline.mp4,output_peg_state_motionplanning_resume/videos/peg_baseline.mp4,none,none,none,30.0,Peg baseline is a pre-experiment only and not stably converged.
peg_lighting_low_preview,PegInsertionSide-v1,state,output_peg_state_motionplanning_resume/videos/peg_baseline.mp4,output_visual_perturbation/videos/peg_lighting_low_preview.mp4,peg_lighting_low_preview,lighting,low,30.0,Render-only perturbation preview only; does not demonstrate visual robustness.
pickcube_online_baseline,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_visual_perturbation\videos\pickcube_online_baseline.mp4,none,none,none,70.0,Formal online baseline evaluation for task 4.
pickcube_online_lighting_low,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_visual_perturbation\videos\pickcube_online_lighting_low.mp4,pickcube_lighting_low,lighting,low,80.0,Formal online lighting preview for task 4. State policy input is unchanged.
pickcube_online_camera_shift_01,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_visual_perturbation\videos\pickcube_online_camera_shift_01.mp4,pickcube_camera_shift_01,camera,medium,80.0,Formal online camera preview for task 4. State policy input is unchanged.
peg_online_baseline_preview,PegInsertionSide-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_peg_state_motionplanning_resume\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_visual_perturbation\videos\peg_online_baseline_preview.mp4,none,none,none,30.0,Peg preview only. Baseline is not stably converged.
peg_online_lighting_low_preview,PegInsertionSide-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_peg_state_motionplanning_resume\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_visual_perturbation\videos\peg_online_lighting_low_preview.mp4,peg_lighting_low_preview,lighting,low,43.333333333333336,Peg preview only. Render-only perturbation does not demonstrate visual robustness.
